Start Time,End Time,Dominant Color,Color 1,Color 2,Color 3,Color 4
0,5,#040404,#040404,#080404,#080404,#080404
5,10,#040404,#040404,#a8a8a5,#747474,#747c74
10,15,#bdc4ad,#1e1f16,#bdc4ad,#84937a,#6e838c
15,20,#bcc3ad,#1c1e15,#bcc3ad,#849279,#6b838c
20,25,#bec4ad,#1d1e16,#bec4ad,#849378,#6d828d
25,30,#bdc3ad,#1d1f16,#bdc3ad,#849279,#6e838c
30,35,#bdc3ad,#1d1e16,#bdc3ad,#839279,#6a828d
35,40,#cdd3bf,#1f2118,#cdd3bf,#8d9a81,#858b8c
40,45,#23251c,#24261d,#dbe0ce,#8ea888,#8b9394
45,50,#24231a,#29281d,#d0c7b0,#8a9585,#8c8c8c
50,55,#2c261b,#332c1f,#e0dac4,#799585,#848c8c
55,60,#2c271c,#332c20,#ddd6c1,#6d9587,#4d8c8c
60,65,#13110d,#1f1c15,#c9cdbd,#8c8371,#7b7f85
65,70,#1c1910,#252215,#858d68,#c0c4ab,#7d8484
70,75,#16110c,#292318,#8e7f5a,#6e795c,#4e4369
75,80,#18130e,#211b13,#837654,#697558,#4d416b
80,85,#18140e,#201b13,#8d8059,#6d765b,#572572
85,90,#15110c,#211b13,#5a5f4b,#796f4e,#4a4e59
90,95,#110e0a,#201911,#747356,#56574c,#695337
95,100,#13100a,#262419,#6d6c4f,#636c53,#63635c
100,105,#191a13,#27271d,#889382,#8f7269,#677f85
105,110,#1d1b10,#262418,#a2ae9a,#778985,#968983
110,115,#171713,#292820,#7c8270,#775f46,#44646c
115,120,#15120e,#221f18,#909782,#8c6d58,#62797e
120,125,#2f2415,#433520,#bca97d,#9ea394,#92928d
125,130,#332716,#493922,#b7a478,#9fa89e,#979790
130,135,#2d2211,#3f3119,#aa915c,#8f896a,#787877
135,140,#15100a,#2c2312,#c8c8bb,#779374,#77827c
140,145,#251b10,#322617,#b2b2a4,#929588,#8f8b84
